metric,unit,direction,n,mean,std,median,min,max,ci95_low,ci95_high,improved,p_sign_test_two_sided
PSNR,dB,larger_is_better,30,0.011409248187291847,0.008294369321934668,0.009380090608813063,0.0012500394269601145,0.04158724080187426,0.008441146244395582,0.014377350130188113,30,1.862645149230957e-09
SSIM,,larger_is_better,30,0.0001510692702399341,0.0001782345002906434,0.00016759087642048698,-0.0003057366609573453,0.0004460436105728771,8.728887343450107e-05,0.0002148496670453671,23,0.005222879350185394
TDE,,smaller_is_better,30,-4.396559670567512e-05,1.6256870600566212e-05,-4.3839216232299805e-05,-7.390603423118591e-05,-1.2077391147613525e-05,-4.97830431373586e-05,-3.814815027399164e-05,30,1.862645149230957e-09
Sharpness,,larger_is_better,30,6.727176466180621e-06,1.078830792319478e-05,6.770401378162279e-06,-2.25306092761458e-05,2.5909364921972156e-05,2.8666300563748997e-06,1.0587722875986343e-05,21,0.04277394525706768
