step,loss,loss_rec,loss_temp,loss_reg
1,0.403857558965683,0.03433453291654587,0.052789002656936646,0.0
100,0.3377699851989746,0.02826433628797531,0.044213905930519104,0.00016605854034423828
200,0.19833187758922577,0.01671685464680195,0.02594238892197609,0.0003657341003417969
300,0.3984767198562622,0.03330470621585846,0.05216168239712715,0.0008044242858886719
400,0.34065908193588257,0.029059650376439095,0.04451020434498787,0.000560760498046875
500,0.1668807715177536,0.014405915513634682,0.021777590736746788,0.0006341934204101562
600,0.3184100091457367,0.026417382061481476,0.04170667752623558,0.0009174346923828125
700,0.19476869702339172,0.01596284657716751,0.025536932051181793,0.0009465217590332031
800,0.1535031497478485,0.01302667148411274,0.020061196759343147,0.0009622573852539062
900,0.2685611844062805,0.02266755700111389,0.03511984646320343,0.001094818115234375
1000,0.1969309002161026,0.0169017743319273,0.02571093663573265,0.0010509490966796875
