temporal_weight,split,sequence,num_frames,psnr,ssim,sharpness,tde,fugr_psnr,fugr_ssim,fugr_sharpness,fugr_tde,delta_psnr_vs_fugr,delta_ssim_vs_fugr,delta_tde_vs_fugr
7.0,train,000,4,27.226904849064766,0.7702746540307999,0.001760610583005473,0.04067529241243998,27.214561369770678,0.7691009491682052,0.0017149358172900975,0.04072809840242068,0.01234347929408841,0.0011737048625947155,-5.280598998069763e-05
7.0,train,003,4,30.39004619975605,0.8976449767748514,0.0020684684277512133,0.026199282457431156,30.331641951118307,0.8965290834506352,0.0019978466734755784,0.02634091054399808,0.05840424863774274,0.0011158933242162439,-0.00014162808656692505
7.0,train,006,4,29.624647484401212,0.8171109855175018,0.0009995422005886212,0.02968599461019039,29.61408915528052,0.8163757373889288,0.0009725923009682447,0.02968675270676613,0.010558329120691212,0.0007352481285730628,-7.580965757369995e-07
7.0,train,010,4,31.422385000414774,0.8770973831415175,0.000788317498518154,0.021828412388761837,31.40584074959962,0.8765958299239476,0.0007719394779996946,0.02182659072180589,0.01654425081515498,0.00050155321756995,1.821666955947876e-06
7.0,train,011,4,23.545964275813283,0.647419219215711,0.002101111604133621,0.06459395587444305,23.544858520411307,0.6461115827163061,0.0020505755383055657,0.06459752221902211,0.0011057554019764382,0.0013076364994049072,-3.5663445790562465e-06
7.0,test,018,4,24.634054324066135,0.6274770746628443,0.0015647817344870418,0.061165238420168556,24.6292374452174,0.6258672475814819,0.0015245154791045934,0.06118657439947128,0.004816878848735939,0.0016098270813623694,-2.1335979302726515e-05
7.0,test,020,4,27.377754581342987,0.7878128389517466,0.0011915585491806269,0.03865246847271919,27.370255110492813,0.7869759748379389,0.0011662014003377408,0.038647991915543876,0.007499470850174106,0.0008368641138076782,4.476557175316087e-06
7.0,test,026,4,32.896170758313346,0.8785682022571564,0.0007776088023092598,0.01963455229997635,32.88681668565649,0.8781935175259907,0.0007601549150422215,0.01961958035826683,0.00935407265685484,0.00037468473116564205,1.4971941709518433e-05
7.0,test,028,4,33.582276512686676,0.9114258835713069,0.0012355474464129657,0.018473166972398758,33.54929112582312,0.9110194444656372,0.0012052046658936888,0.018498504534363747,0.03298538686355812,0.0004064391056697314,-2.533756196498871e-05
7.0,test,029,4,34.452058398621524,0.9365474730730057,0.0007293348608072847,0.015492113617559275,34.4297411967602,0.9361320038636526,0.0007094573666108772,0.015481978344420591,0.022317201861326907,0.00041546920935309206,1.0135273138683204e-05
