split,sequence,frame,method,psnr,ssim,sharpness
calibration,000,00000080,BasicVSR,27.126253636341666,0.7796631256739298,0.0018090058583766222
calibration,003,00000020,BasicVSR,31.423524630968394,0.9130290150642395,0.0018701332155615091
calibration,003,00000040,BasicVSR,30.58931517779036,0.902614156405131,0.001626366749405861
calibration,003,00000060,BasicVSR,29.943516638284756,0.8898259401321411,0.002058587968349457
calibration,003,00000080,BasicVSR,29.284284738466198,0.8793851733207703,0.0025257801171392202
calibration,006,00000020,BasicVSR,30.970646658223217,0.8513255715370178,0.0007365167257376015
calibration,006,00000040,BasicVSR,29.798444472702354,0.8257935444513956,0.000870196963660419
calibration,006,00000060,BasicVSR,30.235421935489452,0.8331560691197714,0.0008517964161001146
calibration,006,00000080,BasicVSR,27.38404144115789,0.7541727224985758,0.001443057437427342
calibration,010,00000020,BasicVSR,32.06576670573902,0.889223059018453,0.0008068291353993118
calibration,010,00000040,BasicVSR,31.318137145744945,0.8721464276313782,0.0007662795833311975
calibration,010,00000060,BasicVSR,30.90363837194676,0.8664594690004984,0.0007555379415862262
calibration,010,00000080,BasicVSR,31.263054558787186,0.8772465189297994,0.0007814678247086704
calibration,011,00000020,BasicVSR,24.561011873960673,0.6899250745773315,0.0020925942808389664
calibration,011,00000040,BasicVSR,23.882633971723173,0.6589502096176147,0.002105416962876916
calibration,011,00000060,BasicVSR,22.98361731182899,0.6169853607813517,0.002048369962722063
calibration,011,00000080,BasicVSR,22.73959557867384,0.6186747749646505,0.0018739158986136317
test,018,00000020,FUGR-C,23.88807280798344,0.5952177246411642,0.00169080076739192
test,018,00000040,FUGR-C,24.43961924032996,0.6192031900087992,0.001531012007035315
test,018,00000060,FUGR-C,24.861467393019346,0.6436895132064819,0.001511197304353118
test,018,00000080,FUGR-C,25.327790339536854,0.6453585624694824,0.0013650518376380205
test,020,00000020,FUGR-C,28.387460713426425,0.8057632446289062,0.000978454714640975
test,020,00000040,FUGR-C,26.863106362798487,0.781760017077128,0.001324745244346559
test,020,00000060,FUGR-C,27.03628365257479,0.7769736647605896,0.001182482810690999
test,020,00000080,FUGR-C,27.19416971317155,0.7834069728851318,0.00117912283167243
test,026,00000020,FUGR-C,32.078838152306936,0.8629839817682902,0.000806130759883672
test,026,00000040,FUGR-C,33.39984172168541,0.8842505017916361,0.0007205284782685339
test,026,00000060,FUGR-C,32.48144795377745,0.873287558555603,0.0007718795095570385
test,026,00000080,FUGR-C,33.587138914856176,0.8922520279884338,0.0007420809124596417
test,028,00000020,FUGR-C,33.430145399864855,0.9301252166430155,0.0011084791040048003
test,028,00000040,FUGR-C,32.96123635238958,0.8800636728604635,0.0011261238250881433
test,028,00000060,FUGR-C,33.01051159576626,0.8999343315760294,0.0014152047224342823
test,028,00000080,FUGR-C,34.79527115527179,0.9339545567830404,0.0011710110120475292
test,029,00000020,FUGR-C,35.26760631867508,0.9388843576113383,0.0007770649972371757
test,029,00000040,FUGR-C,33.64552856265842,0.9315985441207886,0.0009029259672388434
test,029,00000060,FUGR-C,33.45307753627975,0.9322272141774496,0.0006244339747354388
test,029,00000080,FUGR-C,35.35275236942755,0.9418178995450338,0.0005334045272320509
test,018,00000020,ControlNet-FUGR,18.719096127228216,0.3158784707387288,0.0013861171901226044
test,018,00000040,ControlNet-FUGR,19.016176906196367,0.3231714566548665,0.0014079377287998796
test,018,00000060,ControlNet-FUGR,19.30722835758679,0.35119153062502545,0.0013495750026777387
test,018,00000080,ControlNet-FUGR,19.755845846345252,0.3673931658267975,0.001083076698705554
test,020,00000020,ControlNet-FUGR,22.000140325241347,0.5980432430903116,0.0007265284075401723
test,020,00000040,ControlNet-FUGR,21.107710105852227,0.5736100872357687,0.0008769811247475445
test,020,00000060,ControlNet-FUGR,21.464092701748456,0.577564020951589,0.0008194413385353982
test,020,00000080,ControlNet-FUGR,21.3929964199683,0.5796168645222982,0.0008486940059810877
test,026,00000020,ControlNet-FUGR,24.68100514956972,0.691438635190328,0.00048613251419737935
test,026,00000040,ControlNet-FUGR,25.224697471020882,0.7167060971260071,0.0004755737027153373
test,026,00000060,ControlNet-FUGR,24.753626425660322,0.6936002969741821,0.00045203513582237065
test,026,00000080,ControlNet-FUGR,25.012125954921174,0.7199428280194601,0.0004735449037980288
test,028,00000020,ControlNet-FUGR,24.62262074964032,0.7785323262214661,0.00076117436401546
test,028,00000040,ControlNet-FUGR,24.45221455515322,0.7024113535881042,0.0007333100074902177
test,028,00000060,ControlNet-FUGR,23.968614991930956,0.725800613562266,0.0009198251063935459
test,028,00000080,ControlNet-FUGR,24.725039359562558,0.7717844446500143,0.0007339900475926697
test,029,00000020,ControlNet-FUGR,25.12633811833164,0.7773687839508057,0.0005910463514737785
test,029,00000040,ControlNet-FUGR,24.28575446628214,0.7543347676595052,0.0006635411991737783
test,029,00000060,ControlNet-FUGR,25.249953500591417,0.7701849142710367,0.0004649515321943909
