seed,psnr,ssim,sharpness,tde,delta_psnr,delta_ssim,delta_tde
1,30.586397859416053,0.8281480441490808,0.0010981856612488627,0.030682311020791532,0.013329546626049904,0.0005104064941405806,-4.614889621733925e-06
2,30.586597360037427,0.8282712012529373,0.0010971613199217245,0.03068436967829863,0.013529047247423875,0.0006335635979970444,-2.556232114637319e-06
3,30.588462915006136,0.828366294503212,0.0010997662786394358,0.030683507956564427,0.015394602216133535,0.0007286568482717248,-3.417953848838806e-06
