temporal_weight,split,sequence,num_frames,psnr,ssim,sharpness,tde,fugr_psnr,fugr_ssim,fugr_sharpness,fugr_tde,delta_psnr_vs_fugr,delta_ssim_vs_fugr,delta_tde_vs_fugr
7.0,train,000,4,27.225444771907455,0.7699023634195328,0.0017600937571842223,0.040680963546037674,27.214561369770678,0.7691009491682052,0.0017149358172900975,0.04072809840242068,0.010883402136776965,0.0008014142513276257,-4.7134856383003465e-05
7.0,train,003,4,30.385935565899885,0.8975226134061813,0.0020862369565293193,0.026207924510041874,30.331641951118307,0.8965290834506352,0.0019978466734755784,0.02634091054399808,0.054293614781578015,0.0009935299555461352,-0.0001329860339562075
7.0,train,006,4,29.62596418163409,0.8169809033473333,0.0009969807142624632,0.029679207131266594,29.61408915528052,0.8163757373889288,0.0009725923009682447,0.02968675270676613,0.011875026353568074,0.000605165958404541,-7.545575499534607e-06
7.0,train,010,4,31.421381191121554,0.8770136833190918,0.0007858974568080157,0.02182893579204877,31.40584074959962,0.8765958299239476,0.0007719394779996946,0.02182659072180589,0.015540441521935122,0.0004178533951442187,2.345070242881775e-06
7.0,train,011,4,23.545395025103485,0.6467639207839966,0.0020951925253029913,0.064597321053346,23.544858520411307,0.6461115827163061,0.0020505755383055657,0.06459752221902211,0.0005365046921781413,0.0006523380676904944,-2.0116567611694336e-07
7.0,test,018,4,24.635673937393662,0.6270187596480051,0.0015609927359037101,0.061154481023550034,24.6292374452174,0.6258672475814819,0.0015245154791045934,0.06118657439947128,0.006436492176263187,0.001151512066523197,-3.209337592124939e-05
7.0,test,020,4,27.376966442817476,0.7875064959128697,0.0011875105265062302,0.038657378405332565,27.370255110492813,0.7869759748379389,0.0011662014003377408,0.038647991915543876,0.006711332324663033,0.0005305210749307898,9.38648978868889e-06
7.0,test,026,4,32.897022170732114,0.878418023387591,0.00077353062806651,0.01962893083691597,32.88681668565649,0.8781935175259907,0.0007601549150422215,0.01961958035826683,0.010205485075623244,0.00022450586160027708,9.350478649139404e-06
7.0,test,028,4,33.57885185725958,0.9113592704137167,0.0012378129467833787,0.0184702780097723,33.54929112582312,0.9110194444656372,0.0012052046658936888,0.018498504534363747,0.02956073143646165,0.0003398259480794641,-2.8226524591445923e-05
7.0,test,029,4,34.44347488887743,0.936437671383222,0.0007310814689844847,0.015500486828386784,34.4297411967602,0.9361320038636526,0.0007094573666108772,0.015481978344420591,0.013733692117234853,0.00030566751956939697,1.8508483966192188e-05
