method,mean_delta_psnr_vs_fugr,positive_sequences,corr_with_motion,corr_with_residual_energy,corr_with_residual_instability,corr_with_fugr_basic_gain
Lambda-1.05,-1.3603582879184728e-05,4,-0.07031718347052204,-0.25381915887423484,-0.24705585944169772,0.7963604234299163
ResidualAtten-t0.020-g0.95,-1.9480259352988582e-05,5,0.23193959004716108,0.3408843690228979,0.33687142277699217,-0.8495409775391127
Lambda-0.95,-6.605763363793926e-05,6,0.09667999713096943,0.3289412983376386,0.321981944188439,-0.8474388234212723
Lambda-0.85,-0.0004406324119958782,4,0.12061525177416732,0.3962507988794882,0.38912448896066987,-0.8890142693543793
Lambda-1.20,-0.0005367342999686997,2,-0.02755253448290413,-0.13246522985537587,-0.12614738373842024,0.7029291900137602
ResidualMedian-b0.25,-0.0007801844711629258,4,0.1666204929689966,0.44575734122836463,0.4396224689536087,-0.9066541784188996
ResidualClip-c1.20,-0.0065379147260848924,0,0.2270826371094318,0.6305105892672884,0.6230498265896731,-0.9859722469103777
BasicVSR,-0.016575199374417694,0,0.23486042242116992,0.7121836918556876,0.7051602500997349,-0.9999999999999999
