sequence,method,num_frames,motion,psnr,tde
000,BasicVSR,4,0.22359152138233185,27.203840550462758,0.040793854743242264
000,FUGR-C,4,0.22359152138233185,27.214561369770678,0.040728095918893814
000,Lambda-0.85,4,0.22359152138233185,27.214438192967688,0.040735289454460144
000,Lambda-0.95,4,0.22359152138233185,27.214579763704776,0.04073048755526543
000,Lambda-1.05,4,0.22359152138233185,27.214486489845207,0.04072953760623932
000,Lambda-1.20,4,0.22359152138233185,27.21391488676607,0.04073386266827583
000,ResidualMedian-b0.25,4,0.22359152138233185,27.213980059792604,0.0407412052154541
000,ResidualAtten-t0.020-g0.95,4,0.22359152138233185,27.214562318188445,0.04072856903076172
000,ResidualClip-c1.20,4,0.22359152138233185,27.210384902874807,0.040764275938272476
003,BasicVSR,4,0.24185216426849365,30.310160296377425,0.026409415528178215
003,FUGR-C,4,0.24185216426849365,30.331641951118307,0.02634090930223465
003,Lambda-0.85,4,0.24185216426849365,30.330639187372025,0.026348983868956566
003,Lambda-0.95,4,0.24185216426849365,30.331395179307886,0.02634360082447529
003,Lambda-1.05,4,0.24185216426849365,30.331802283164695,0.02634248323738575
003,Lambda-1.20,4,0.24185216426849365,30.33175915948236,0.026347195729613304
003,ResidualMedian-b0.25,4,0.24185216426849365,30.330536657798387,0.0263537410646677
003,ResidualAtten-t0.020-g0.95,4,0.24185216426849365,30.33160455547887,0.02634122036397457
003,ResidualClip-c1.20,4,0.24185216426849365,30.32399170576364,0.026378430426120758
006,BasicVSR,4,0.19383136928081512,29.59713862689323,0.02974550984799862
006,FUGR-C,4,0.19383136928081512,29.61408915528052,0.029686754569411278
006,Lambda-0.85,4,0.19383136928081512,29.613367304935224,0.029693668708205223
006,Lambda-0.95,4,0.19383136928081512,29.61391971541256,0.029689066112041473
006,Lambda-1.05,4,0.19383136928081512,29.614186901996497,0.029688319191336632
006,Lambda-1.20,4,0.19383136928081512,29.61405060443824,0.029693007469177246
006,ResidualMedian-b0.25,4,0.19383136928081512,29.612905616273984,0.029698221012949944
006,ResidualAtten-t0.020-g0.95,4,0.19383136928081512,29.614061076194638,0.029687056317925453
006,ResidualClip-c1.20,4,0.19383136928081512,29.606630446918327,0.029720762744545937
010,BasicVSR,4,0.14523543417453766,31.387649195554477,0.021878113970160484
010,FUGR-C,4,0.14523543417453766,31.40584074959962,0.021826589480042458
010,Lambda-0.85,4,0.14523543417453766,31.405129645541656,0.021832844242453575
010,Lambda-0.95,4,0.14523543417453766,31.40568285680028,0.021828671917319298
010,Lambda-1.05,4,0.14523543417453766,31.405918361975914,0.021828340366482735
010,Lambda-1.20,4,0.14523543417453766,31.405677175028174,0.021833613514900208
010,ResidualMedian-b0.25,4,0.14523543417453766,31.404725712378415,0.021836793050169945
010,ResidualAtten-t0.020-g0.95,4,0.14523543417453766,31.405819907330205,0.02182685397565365
010,ResidualClip-c1.20,4,0.14523543417453766,31.398516665469753,0.02185654081404209
011,BasicVSR,4,0.20968715846538544,23.54171468404667,0.06463711708784103
011,FUGR-C,4,0.20968715846538544,23.544858520411307,0.06459752470254898
011,Lambda-0.85,4,0.20968715846538544,23.545136917459782,0.06460103392601013
011,Lambda-0.95,4,0.20968715846538544,23.54498083112282,0.0645986869931221
011,Lambda-1.05,4,0.20968715846538544,23.544707815348367,0.06459975242614746
011,Lambda-1.20,4,0.20968715846538544,23.544077240454037,0.0646064355969429
011,ResidualMedian-b0.25,4,0.20968715846538544,23.545014218180956,0.06460417062044144
011,ResidualAtten-t0.020-g0.95,4,0.20968715846538544,23.544876075700166,0.06459776312112808
011,ResidualClip-c1.20,4,0.20968715846538544,23.54378833362945,0.06461945921182632
018,BasicVSR,4,0.1816980391740799,24.623594489231564,0.06122647598385811
018,FUGR-C,4,0.1816980391740799,24.6292374452174,0.06118657812476158
018,Lambda-0.85,4,0.1816980391740799,24.629376266454287,0.061190053820610046
018,Lambda-0.95,4,0.1816980391740799,24.629322352048092,0.061187732964754105
018,Lambda-1.05,4,0.1816980391740799,24.629115461128265,0.06118922308087349
018,Lambda-1.20,4,0.1816980391740799,24.628515473356902,0.06119722127914429
018,ResidualMedian-b0.25,4,0.1816980391740799,24.62928134196327,0.06119213625788689
018,ResidualAtten-t0.020-g0.95,4,0.1816980391740799,24.629257581906383,0.061186689883470535
018,ResidualClip-c1.20,4,0.1816980391740799,24.62760471424299,0.06120401620864868
020,BasicVSR,4,0.16094528138637543,27.367861545335074,0.038662124425172806
020,FUGR-C,4,0.16094528138637543,27.370255110492813,0.03864799439907074
020,Lambda-0.85,4,0.16094528138637543,27.371222975183684,0.038647912442684174
020,Lambda-0.95,4,0.16094528138637543,27.370630762628455,0.038647960871458054
020,Lambda-1.05,4,0.16094528138637543,27.369828922740545,0.03865128755569458
020,Lambda-1.20,4,0.16094528138637543,27.368239909426613,0.038661226630210876
020,ResidualMedian-b0.25,4,0.16094528138637543,27.37101291048198,0.03864876553416252
020,ResidualAtten-t0.020-g0.95,4,0.16094528138637543,27.370336580531788,0.03864787891507149
020,ResidualClip-c1.20,4,0.16094528138637543,27.370101350163218,0.0386556051671505
026,BasicVSR,4,0.11049308627843857,32.86635056786227,0.01966211013495922
026,FUGR-C,4,0.11049308627843857,32.88681668565649,0.01961958035826683
026,Lambda-0.85,4,0.11049308627843857,32.88654789076679,0.01962398737668991
026,Lambda-0.95,4,0.11049308627843857,32.886838251850264,0.019621046259999275
026,Lambda-1.05,4,0.11049308627843857,32.886686361668936,0.01962248794734478
026,Lambda-1.20,4,0.11049308627843857,32.88563436649677,0.019631216302514076
026,ResidualMedian-b0.25,4,0.11049308627843857,32.88611938161111,0.01962723396718502
026,ResidualAtten-t0.020-g0.95,4,0.11049308627843857,32.88676511255464,0.019619861617684364
026,ResidualClip-c1.20,4,0.11049308627843857,32.87967061338983,0.0196421816945076
028,BasicVSR,4,0.1572331041097641,33.50237858372186,0.018591808155179024
028,FUGR-C,4,0.1572331041097641,33.54929112582312,0.018498504534363747
028,Lambda-0.85,4,0.1572331041097641,33.545608001466974,0.018510563299059868
028,Lambda-0.95,4,0.1572331041097641,33.54819593701665,0.01850251480937004
028,Lambda-1.05,4,0.1572331041097641,33.55025450260496,0.01849873922765255
028,Lambda-1.20,4,0.1572331041097641,33.552346891816256,0.01849946193397045
028,ResidualMedian-b0.25,4,0.1572331041097641,33.54484066096841,0.01851835660636425
028,ResidualAtten-t0.020-g0.95,4,0.1572331041097641,33.54902012868004,0.01849924772977829
028,ResidualClip-c1.20,4,0.1572331041097641,33.5268849948269,0.018560372292995453
029,BasicVSR,4,0.1916600912809372,34.409892776900946,0.01552284974604845
029,FUGR-C,4,0.1916600912809372,34.4297411967602,0.015481977723538876
029,Lambda-0.85,4,0.1916600912809372,34.43046060386238,0.015486415475606918
029,Lambda-0.95,4,0.1916600912809372,34.430127083902285,0.01548345759510994
029,Lambda-1.05,4,0.1916600912809372,34.429210173828274,0.015484859235584736
029,Lambda-1.20,4,0.1916600912809372,34.426750259865344,0.015493541955947876
