method,num_sequences,num_frames,psnr,tde,delta_psnr_vs_fugr,delta_tde_vs_fugr
PerFrameOracle,10,40,29.49856277125533,0.033663728274405,0.0009294402422881376,2.277363091704454e-06
PerFrameOracleNonFUGR,10,40,29.498561559703212,0.03366373674944043,0.0009282286901708403,2.2858381271348427e-06
