method,num_sequences,num_frames,motion,psnr,tde,delta_psnr_vs_fugr,delta_tde_vs_fugr
FUGR-C,10,40,0.1816227249801159,29.49763333101304,0.0336614509113133,0.0,0.0
ResidualAtten-t0.020-g0.95,10,40,0.1816227249801159,29.49761385075369,0.033661726489663125,-1.9480259350501683e-05,2.755783498273323e-07
Lambda-0.95,10,40,0.1816227249801159,29.497567273379406,0.0336633225902915,-6.605763363509709e-05,1.8716789782005638e-06
Lambda-1.05,10,40,0.1816227249801159,29.49761972743017,0.033663502987474204,-1.360358287172403e-05,2.0520761609063576e-06
Lambda-0.85,10,40,0.1816227249801159,29.497192698601047,0.03366707526147365,-0.00044063241199410186,5.624350160354785e-06
Lambda-1.20,10,40,0.1816227249801159,29.49709659671307,0.0336696783080697,-0.0005367342999704761,8.227396756405048e-06
ResidualMedian-b0.25,10,40,0.1816227249801159,29.496853146541877,0.033670997340232135,-0.0007801844711643469,9.546428918837113e-06
ResidualClip-c1.20,10,40,0.1816227249801159,29.49109541628696,0.03369094105437398,-0.00653791472608134,2.949014306068143e-05
BasicVSR,10,40,0.1816227249801159,29.481058131638626,0.03371293796226382,-0.016575199374415206,5.1487050950524416e-05
