temporal_weight,split,sequence,num_frames,psnr,ssim,sharpness,tde,fugr_psnr,fugr_ssim,fugr_sharpness,fugr_tde,delta_psnr_vs_fugr,delta_ssim_vs_fugr,delta_tde_vs_fugr
7.0,train,000,4,27.22572850892911,0.770076518257459,0.0017566130263730884,0.04067846263448397,27.214561369770678,0.7691009491682052,0.0017149358172900975,0.04072809840242068,0.011167139158430928,0.0009755690892538915,-4.963576793670654e-05
7.0,train,003,4,30.388484068161507,0.897576168179512,0.0020622693409677595,0.026198110232750576,30.331641951118307,0.8965290834506352,0.0019978466734755784,0.02634091054399808,0.056842117043199636,0.0010470847288768237,-0.00014280031124750542
7.0,train,006,4,29.623699946964358,0.8170596857865652,0.0009973522974178195,0.029687849183877308,29.61408915528052,0.8163757373889288,0.0009725923009682447,0.02968675270676613,0.00961079168383705,0.0006839483976364136,1.0964771111794669e-06
7.0,train,010,4,31.41999185605672,0.8770212928454082,0.0007854958821553737,0.021830512831608456,31.40584074959962,0.8765958299239476,0.0007719394779996946,0.02182659072180589,0.01415110645709916,0.0004254629214606176,3.922109802566298e-06
7.0,train,011,4,23.546001315562272,0.6472493658463161,0.002092996990540996,0.06459514051675797,23.544858520411307,0.6461115827163061,0.0020505755383055657,0.06459752221902211,0.00114279515096527,0.001137783130010006,-2.381702264145358e-06
7.0,test,018,4,24.63348721943423,0.6272526582082113,0.0015637267206329852,0.061166077852249146,24.6292374452174,0.6258672475814819,0.0015245154791045934,0.06118657439947128,0.004249774216830815,0.0013854106267293664,-2.049654722213745e-05
7.0,test,020,4,27.37579465696767,0.7877049992481868,0.001189409289509058,0.038663978377978005,27.370255110492813,0.7869759748379389,0.0011662014003377408,0.038647991915543876,0.005539546474857104,0.0007290244102479138,1.5986462434128268e-05
7.0,test,026,4,32.893035579577486,0.8785169670979183,0.0007738467684248462,0.019634541124105453,32.88681668565649,0.8781935175259907,0.0007601549150422215,0.01961958035826683,0.006218893920994617,0.00032344957192753654,1.4960765838623047e-05
7.0,test,028,4,33.58052955933674,0.9113722592592239,0.0012311553000472486,0.01847206801176071,33.54929112582312,0.9110194444656372,0.0012052046658936888,0.018498504534363747,0.031238433513621544,0.00035281479358673096,-2.6436522603034973e-05
7.0,test,029,4,34.450139784871006,0.9365091224511465,0.0007276685209944844,0.015485183025399843,34.4297411967602,0.9361320038636526,0.0007094573666108772,0.015481978344420591,0.02039858811080819,0.0003771185874938965,3.2046809792518616e-06
