policy,sequence,selected_method,psnr,tde,fugr_psnr,fugr_tde,delta_psnr_vs_fugr,delta_tde_vs_fugr
FUGR-C,018,FUGR-C,24.6292374452174,0.06118657812476158,24.6292374452174,0.06118657812476158,0.0,0.0
FUGR-C,020,FUGR-C,27.370255110492813,0.03864799439907074,27.370255110492813,0.03864799439907074,0.0,0.0
FUGR-C,026,FUGR-C,32.88681668565649,0.01961958035826683,32.88681668565649,0.01961958035826683,0.0,0.0
FUGR-C,028,FUGR-C,33.54929112582312,0.018498504534363747,33.54929112582312,0.018498504534363747,0.0,0.0
FUGR-C,029,FUGR-C,34.4297411967602,0.015481977723538876,34.4297411967602,0.015481977723538876,0.0,0.0
BasicVSR,018,BasicVSR,24.623594489231564,0.06122647598385811,24.6292374452174,0.06118657812476158,-0.005642955985834419,3.98978590965271e-05
BasicVSR,020,BasicVSR,27.367861545335074,0.038662124425172806,27.370255110492813,0.03864799439907074,-0.0023935651577389194,1.413002610206604e-05
BasicVSR,026,BasicVSR,32.86635056786227,0.01966211013495922,32.88681668565649,0.01961958035826683,-0.02046611779422136,4.252977669239044e-05
BasicVSR,028,BasicVSR,33.50237858372186,0.018591808155179024,33.54929112582312,0.018498504534363747,-0.04691254210126061,9.33036208152771e-05
BasicVSR,029,BasicVSR,34.409892776900946,0.01552284974604845,34.4297411967602,0.015481977723538876,-0.01984841985925101,4.087202250957489e-05
GlobalCalibNonFUGR-ResidualAtten-t0.020-g0.95,018,ResidualAtten-t0.020-g0.95,24.629257581906383,0.061186689883470535,24.6292374452174,0.06118657812476158,2.0136688984706552e-05,1.1175870895385742e-07
GlobalCalibNonFUGR-ResidualAtten-t0.020-g0.95,020,ResidualAtten-t0.020-g0.95,27.370336580531788,0.03864787891507149,27.370255110492813,0.03864799439907074,8.147003897462923e-05,-1.1548399925231934e-07
GlobalCalibNonFUGR-ResidualAtten-t0.020-g0.95,026,ResidualAtten-t0.020-g0.95,32.88676511255464,0.019619861617684364,32.88681668565649,0.01961958035826683,-5.157310184955577e-05,2.812594175338745e-07
GlobalCalibNonFUGR-ResidualAtten-t0.020-g0.95,028,ResidualAtten-t0.020-g0.95,33.54902012868004,0.01849924772977829,33.54929112582312,0.018498504534363747,-0.00027099714307610157,7.431954145431519e-07
GlobalCalibNonFUGR-ResidualAtten-t0.020-g0.95,029,ResidualAtten-t0.020-g0.95,34.42983517097174,0.01548212394118309,34.4297411967602,0.015481977723538876,9.397421154488939e-05,1.4621764421463013e-07
MotionBucketAdaptive,018,ResidualAtten-t0.020-g0.95,24.629257581906383,0.061186689883470535,24.6292374452174,0.06118657812476158,2.0136688984706552e-05,1.1175870895385742e-07
MotionBucketAdaptive,020,ResidualAtten-t0.020-g0.95,27.370336580531788,0.03864787891507149,27.370255110492813,0.03864799439907074,8.147003897462923e-05,-1.1548399925231934e-07
MotionBucketAdaptive,026,ResidualAtten-t0.020-g0.95,32.88676511255464,0.019619861617684364,32.88681668565649,0.01961958035826683,-5.157310184955577e-05,2.812594175338745e-07
MotionBucketAdaptive,028,ResidualAtten-t0.020-g0.95,33.54902012868004,0.01849924772977829,33.54929112582312,0.018498504534363747,-0.00027099714307610157,7.431954145431519e-07
MotionBucketAdaptive,029,ResidualAtten-t0.020-g0.95,34.42983517097174,0.01548212394118309,34.4297411967602,0.015481977723538876,9.397421154488939e-05,1.4621764421463013e-07
ResidualInstabilityBucketAdaptive,018,ResidualAtten-t0.020-g0.95,24.629257581906383,0.061186689883470535,24.6292374452174,0.06118657812476158,2.0136688984706552e-05,1.1175870895385742e-07
ResidualInstabilityBucketAdaptive,020,ResidualAtten-t0.020-g0.95,27.370336580531788,0.03864787891507149,27.370255110492813,0.03864799439907074,8.147003897462923e-05,-1.1548399925231934e-07
ResidualInstabilityBucketAdaptive,026,ResidualAtten-t0.020-g0.95,32.88676511255464,0.019619861617684364,32.88681668565649,0.01961958035826683,-5.157310184955577e-05,2.812594175338745e-07
ResidualInstabilityBucketAdaptive,028,ResidualAtten-t0.020-g0.95,33.54902012868004,0.01849924772977829,33.54929112582312,0.018498504534363747,-0.00027099714307610157,7.431954145431519e-07
ResidualInstabilityBucketAdaptive,029,ResidualAtten-t0.020-g0.95,34.42983517097174,0.01548212394118309,34.4297411967602,0.015481977723538876,9.397421154488939e-05,1.4621764421463013e-07
