sequence,method,num_frames,psnr,ssim,sharpness,tde
000,FUGR-C,4,27.214561369770678,0.7691009491682052,0.0017149358172900975,0.040728095918893814
000,BasicVSR,4,27.203840550462758,0.7688583085934321,0.0017011447926051915,0.040793854743242264
000,Lambda-0.85,4,27.214438192967688,0.7691072821617126,0.001708650030195713,0.040735289454460144
000,Lambda-0.95,4,27.214579763704776,0.7691047887007395,0.0017086583538912237,0.04073048755526543
000,Lambda-1.05,4,27.214486489845207,0.7690955301125845,0.0017380868084728718,0.04072953760623932
000,Lambda-1.20,4,27.21391488676607,0.7690693040688833,0.001738445251248777,0.04073386266827583
000,ResidualAtten-t0.020-g0.95,4,27.214562318188445,0.7691012223561605,0.0017086583538912237,0.04072856903076172
000,ResidualAtten-t0.010-g0.95,4,27.214559893949726,0.7691013813018799,0.0017086583538912237,0.04072887822985649
000,ResidualMedian-b0.25,4,27.213980059792604,0.7690826803445816,0.0017131898493971676,0.0407412052154541
000,ResidualClip-c1.20,4,27.210384902874807,0.7690101911624272,0.0017072362534236163,0.040764275938272476
003,FUGR-C,4,30.331641951118307,0.8965290834506352,0.0019978466734755784,0.02634090930223465
003,BasicVSR,4,30.310160296377425,0.8962135712305704,0.0020202170126140118,0.026409415528178215
003,Lambda-0.85,4,30.330639187372025,0.89651720225811,0.002003618224989623,0.026348983868956566
003,Lambda-0.95,4,30.331395179307886,0.8965264807144802,0.002003626403165981,0.02634360082447529
003,Lambda-1.05,4,30.331802283164695,0.8965304344892502,0.0020056768553331494,0.02634248323738575
003,Lambda-1.20,4,30.33175915948236,0.8965256263812383,0.0020058185909874737,0.026347195729613304
003,ResidualAtten-t0.020-g0.95,4,30.33160455547887,0.8965288599332173,0.002003626403165981,0.02634122036397457
003,ResidualAtten-t0.010-g0.95,4,30.331579075123493,0.896528626481692,0.002003626403165981,0.026341445744037628
003,ResidualMedian-b0.25,4,30.330536657798387,0.8964983622233073,0.002006831899052486,0.0263537410646677
003,ResidualClip-c1.20,4,30.32399170576364,0.8963961154222488,0.0020063613483216614,0.026378430426120758
006,FUGR-C,4,29.61408915528052,0.8163757373889288,0.0009725923009682447,0.029686754569411278
006,BasicVSR,4,29.59713862689323,0.8161119769016901,0.0009753918857313693,0.02974550984799862
006,Lambda-0.85,4,29.613367304935224,0.816383530696233,0.0009717038919916376,0.029693668708205223
006,Lambda-0.95,4,29.61391971541256,0.8163802077372869,0.0009717125649331138,0.029689066112041473
006,Lambda-1.05,4,29.614186901996497,0.816369503736496,0.000986330327577889,0.029688319191336632
