policy,num_sequences,num_frames,psnr,ssim,sharpness,tde,delta_psnr_vs_fugr,delta_tde_vs_fugr
FUGR-C,5,20,30.573068312790003,0.8276376376549403,0.0010731067653978244,0.030686927028000355,0.0,0.0
BasicVSR,5,20,30.554015592610348,0.8274916956822078,0.0010666362271877007,0.030733073689043523,-0.01905272017965487,4.61466610431685e-05
GlobalCalibNonFUGR-ResidualAtten-t0.020-g0.95,5,20,30.57304291492892,0.8276384125153223,0.0010695005999878048,0.030687160417437555,-2.539786108357589e-05,2.333894372000267e-07
MotionBucketAdaptive,5,20,30.57304291492892,0.8276384125153223,0.0010695005999878048,0.030687160417437555,-2.539786108357589e-05,2.333894372000267e-07
ResidualInstabilityBucketAdaptive,5,20,30.57304291492892,0.8276384125153223,0.0010695005999878048,0.030687160417437555,-2.539786108357589e-05,2.333894372000267e-07
ResidualEnergyBucketAdaptive,5,20,30.57304291492892,0.8276384125153223,0.0010695005999878048,0.030687160417437555,-2.539786108357589e-05,2.333894372000267e-07
Fallback-ResidualAtten-t0.020-g0.95,5,20,30.57303888759112,0.8276379456122717,0.0010704804677516221,0.030687138065695764,-2.9425198881938286e-05,2.110376954092552e-07
TestPerFrameOracle,5,20,30.5743039230063,0.8276624709367753,0.0010746269021183253,0.03068927153944969,0.0012356102162982552,2.344511449335618e-06
TestPerFrameOracleNonFUGR,5,20,30.574302541423002,0.8276624590158462,0.0010745525709353388,0.030689281038939954,0.001234228632998935,2.3540109395994713e-06
