method,num_frames,LPIPS,FID,tLPIPS_style
BasicVSR,800,0.251768908938393,5.98964262008667,0.24299249730326913
VSRGAN,800,0.15787193442694844,14.293168067932129,0.15027670206671412
FUGR,800,0.2502765490021557,5.980032444000244,0.2412856768703822
