frame,alpha_mean,alpha_max,disagreement_mean,temporal_risk_mean,BasicVSR_psnr,BasicVSR_ssim,BasicVSR_sharp,VSRGAN_psnr,VSRGAN_ssim,VSRGAN_sharp,RGB-Hybrid_psnr,RGB-Hybrid_ssim,RGB-Hybrid_sharp,FUGR-no-temporal_psnr,FUGR-no-temporal_ssim,FUGR-no-temporal_sharp,FUGR-temporal_psnr,FUGR-temporal_ssim,FUGR-temporal_sharp
00000000.png,0.030865253880620003,0.19573044776916504,0.026201767846941948,0.0,27.68715401352807,0.7625462810198466,0.0016382895410060883,25.314497554556784,0.6873139341672262,0.0056038727052509785,27.696783205606522,0.7627952098846436,0.0016492928843945265,27.70095006779403,0.7628566225369772,0.0016703626606613398,27.70095006779403,0.7628566225369772,0.0016703626606613398
00000001.png,0.01686742715537548,0.14643266797065735,0.02700343169271946,0.018878934904932976,27.68395534915211,0.7644774715105692,0.0016469567781314254,25.158358860247596,0.6877825856208801,0.005610481835901737,27.687300650720374,0.7645885745684305,0.0016526143299415708,27.693323582080254,0.7647270957628886,0.0016791494563221931,27.6893196416962,0.764629065990448,0.0016680153785273433
00000002.png,0.01686835289001465,0.1408967226743698,0.02673036977648735,0.01916135661303997,27.75571513311748,0.7633050282796224,0.0016112672165036201,25.271424749720822,0.6877649029095968,0.005438569933176041,27.75931839571026,0.7634195685386658,0.0016180569073185325,27.765133842831673,0.763565202554067,0.001648227102123201,27.761244639924378,0.7634655634562174,0.0016342283925041556
00000003.png,0.01654485985636711,0.1426321566104889,0.02645881287753582,0.019739726558327675,27.736384840513253,0.7577457030614217,0.0015915686963126063,25.264482078793552,0.6787943442662557,0.005673603620380163,27.740573363144463,0.7578526139259338,0.0016004497883841395,27.746408281315887,0.7579942146937052,0.001629183767363429,27.742441103159216,0.7579008738199869,0.0016156239435076714
00000004.png,0.016221778467297554,0.14121395349502563,0.026584649458527565,0.019860561937093735,27.840233847324,0.7549037337303162,0.0015407681930810213,25.341434555207776,0.6758566697438558,0.005423737224191427,27.844364354081538,0.7550275723139445,0.0015485775656998158,27.85065795094445,0.75518266359965,0.0015762165421620011,27.846193527968186,0.75507124265035,0.0015638390323147178
00000005.png,0.015949783846735954,0.15285693109035492,0.026643598452210426,0.019900334998965263,27.73961395646435,0.7426952918370565,0.0014823750825598836,25.244662110860588,0.6588812669118246,0.005584062542766333,27.74303038641351,0.7427921493848165,0.0014915666542947292,27.74913778234182,0.7429436445236206,0.0015200875932350755,27.745040564060023,0.7428443630536398,0.0015069879591464996
00000006.png,0.01587168127298355,0.14260472357273102,0.026701204478740692,0.019651517271995544,27.988176594933215,0.7528802355130514,0.001441426225937903,25.449946168247784,0.6688992977142334,0.005362327676266432,27.992261466218245,0.7529871861139933,0.0014500749530270696,28.00126243230537,0.7531636754671732,0.0014786372194066644,27.99423302542777,0.7530347108840942,0.0014656888088211417
00000007.png,0.015828628093004227,0.14095737040042877,0.026757732033729553,0.01968889683485031,27.817012678554445,0.7525952657063802,0.0015357538359239697,25.293391980838994,0.6718058387438456,0.005521947052329779,27.82045199886764,0.7526950836181641,0.001544905360788107,27.82757948481427,0.75285271803538,0.0015729255974292755,27.822576736731452,0.7527396082878113,0.0015597178135067225
00000008.png,0.015697091817855835,0.1413358896970749,0.02703149802982807,0.01990475133061409,27.720342775101248,0.7567491332689921,0.0015596263110637665,25.209066233159113,0.6731295386950175,0.005684698466211557,27.72431765154267,0.7568513552347819,0.0015676647890359163,27.731805668560238,0.7570070624351501,0.0015953462570905685,27.726050522976937,0.7568967739741007,0.001583045581355691
00000009.png,0.01595582254230976,0.13985131680965424,0.026950469240546227,0.0198027603328228,27.68575586583413,0.7641638517379761,0.0016727448673918843,25.251807959919542,0.6868848005930582,0.005677820183336735,27.69054960780815,0.7642972469329834,0.0016795340925455093,27.698030166352847,0.764480451742808,0.0017067760927602649,27.69219089714116,0.7643427650133768,0.0016944794915616512
00000010.png,0.016330871731042862,0.14348438382148743,0.02754245139658451,0.019466323778033257,27.476077456617844,0.7639367580413818,0.001753118121996522,25.04649819482461,0.6897064050038656,0.005776098929345608,27.481247501308484,0.7640695969263712,0.001757809892296791,27.490258995794832,0.7642720341682434,0.001784119987860322,27.48297977012595,0.7641162276268005,0.0017728405073285103
00000011.png,0.01594260334968567,0.1404244601726532,0.028593910858035088,0.019788773730397224,27.46669549991742,0.7595687309900919,0.0017155301757156849,24.890604392316554,0.6807205279668173,0.005957408342510462,27.47156626645387,0.7597134510676066,0.0017221708549186587,27.47993134839917,0.7598983844121298,0.0017501142574474216,27.473474112030853,0.759763220945994,0.001737879472784698
