heldout_sequence,selected_beta,selected_sigma,train_psnr,heldout_psnr,heldout_ssim,heldout_edge_psnr,heldout_hf_mae,heldout_tde,fugr_psnr,fugr_ssim,fugr_edge_psnr,fugr_hf_mae,fugr_tde,delta_psnr_vs_fugr,delta_ssim_vs_fugr,delta_edge_psnr_vs_fugr,delta_hf_mae_vs_fugr,delta_tde_vs_fugr
000,0.3,0.5,29.759278738411084,27.218672106192578,0.7688892831405003,22.401005801342876,0.017417127266526222,0.040757857263088226,27.214561369770678,0.7691009491682052,22.4007292382301,0.017453501001000404,0.04072809840242068,0.004110736421900185,-0.00021166602770483767,0.00027656311277723944,-3.637373447418213e-05,2.9758860667548903e-05
003,0.3,0.5,29.4117673176502,30.346274893040537,0.8970352113246918,24.94972727041695,0.010049786418676376,0.026315500338872273,30.331641951118307,0.8965290834506352,24.94564569139702,0.01013880386017263,0.02634091054399808,0.014632941922229747,0.0005061278740565722,0.00408157901993178,-8.901744149625301e-05,-2.5410205125808716e-05
006,0.3,0.5,29.49259496327929,29.618826082378668,0.8164038608471552,24.708439224655887,0.013087138766422868,0.029703355704744656,29.61408915528052,0.8163757373889288,24.710883244830022,0.013132002903148532,0.02968675270676613,0.004736927098146992,2.8123458226447795e-05,-0.00244402017413492,-4.486413672566414e-05,1.6602997978527184e-05
010,0.3,0.5,29.29413440228818,31.404971131298655,0.8768446693817774,25.617226951048572,0.009096240857616067,0.0218656025826931,31.40584074959962,0.8765958299239476,25.626604065909177,0.009136410662904382,0.02182659072180589,-0.0008696183009639924,0.0002488394578298303,-0.009377114860605218,-4.016980528831482e-05,3.901186088721073e-05
011,0.3,0.5,30.16737947793749,23.545765450454923,0.6453141421079636,20.092620876801124,0.030057331547141075,0.06463588525851567,23.544858520411307,0.6461115827163061,20.094295581897683,0.030073513742536306,0.06459752221902211,0.0009069300436159722,-0.0007974406083425256,-0.0016747050965584265,-1.6182195395231247e-05,3.836303949356079e-05
018,0.3,0.5,30.046411571611443,24.63447660738933,0.6250563462575277,21.464870969295134,0.02756903599947691,0.06117552891373634,24.6292374452174,0.6258672475814819,21.458236078332707,0.02760295057669282,0.06118657439947128,0.005239162171932321,-0.0008109013239542273,0.00663489096242742,-3.391457721590996e-05,-1.1045485734939575e-05
020,0.3,0.5,29.742524755779836,27.369457949873773,0.7867300311724345,22.201050923260258,0.016317955683916807,0.038682022442420326,27.370255110492813,0.7869759748379389,22.204099447545318,0.016351499129086733,0.038647991915543876,-0.000797160619040227,-0.00024594366550445557,-0.0030485242850595284,-3.354344516992569e-05,3.4030526876449585e-05
026,0.6,0.4,29.126929979899355,32.906835956171584,0.878482570250829,27.959227809132962,0.008084704517386854,0.019601769124468166,32.88681668565649,0.8781935175259907,27.942100719625035,0.008138847537338734,0.01961958035826683,0.020019270515092558,0.00028905272483825684,0.01712708950792674,-5.414301995187998e-05,-1.7811233798663978e-05
028,0.3,0.5,29.054931695908905,33.557795488712145,0.911475345492363,28.05719166690328,0.007341104676015675,0.01851070299744606,33.54929112582312,0.9110194444656372,28.06599439827099,0.007405141601338983,0.018498504534363747,0.008504362889027561,0.00045590102672576904,-0.008802731367712369,-6.403692532330751e-05,1.2198463082313538e-05
029,0.3,0.5,28.95633948081596,34.44512542454866,0.9364086041847866,28.419980026149947,0.006079959683120251,0.01549114721516768,34.4297411967602,0.9361320038636526,28.410468849090705,0.006140931625850499,0.015481978344420591,0.01538422778845927,0.0002766003211339685,0.00951117705924176,-6.0971942730247974e-05,9.168870747089386e-06
