split,sequence,method,num_frames,psnr,ssim,sharpness,edge_psnr,flat_psnr,hf_mae,tde
all40,000,BasicVSR,4,27.203840550462758,0.7688583085934321,0.0017011447926051915,22.389523440843433,30.291279685251823,0.017475115600973368,0.040793854743242264
all40,003,BasicVSR,4,30.310160296377425,0.8962135712305704,0.0020202170126140118,24.92652916366206,34.47957859803155,0.0101660774089396,0.026409414907296497
all40,006,BasicVSR,4,29.59713862689323,0.8161119769016901,0.0009753918857313693,24.695012747035932,32.90074876358146,0.013151510618627071,0.0297455092271169
all40,010,BasicVSR,4,31.387649195554477,0.8762688686450323,0.0007775286212563515,25.611633534812487,36.554144061438734,0.00915767764672637,0.021878114591042202
all40,011,BasicVSR,4,23.54171468404667,0.6461338549852371,0.0020300742762628943,20.09093684165849,25.121021011049375,0.03008963679894805,0.0646371158460776
all40,018,BasicVSR,4,24.623594489231564,0.6259215474128723,0.0015185684897005558,21.451169807847556,25.98774586809746,0.027616015635430813,0.06122647970914841
all40,020,BasicVSR,4,27.367861545335074,0.7869731187820435,0.0011596731492318213,22.202696922393397,31.04805539318684,0.016356142703443766,0.038662124425172806
all40,026,BasicVSR,4,32.86635056786227,0.8780875653028489,0.0007598828087793663,27.91902857870447,36.16001233725076,0.00815139792393893,0.01966211013495922
all40,028,BasicVSR,4,33.50237858372186,0.9105625847975414,0.0011877951910719275,28.012135104112556,38.05657847606522,0.00744326482526958,0.01859180877606074
all40,029,BasicVSR,4,34.409892776900946,0.9359136621157329,0.0007072614971548319,28.388633416866693,40.51145902027049,0.00615427759476006,0.015522851298252741
all40,000,FUGR-C,4,27.214561369770678,0.7691009491682052,0.0017149358172900975,22.4007292382301,30.301160723494615,0.017453501001000404,0.04072809840242068
all40,003,FUGR-C,4,30.331641951118307,0.8965290834506352,0.0019978466734755784,24.94564569139702,34.50712380660771,0.01013880386017263,0.02634091054399808
all40,006,FUGR-C,4,29.61408915528052,0.8163757373889288,0.0009725923009682447,24.710883244830022,32.9204386207292,0.013132002903148532,0.02968675270676613
all40,010,FUGR-C,4,31.40584074959962,0.8765958299239476,0.0007719394779996946,25.626604065909177,36.58237855283436,0.009136410662904382,0.02182659072180589
all40,011,FUGR-C,4,23.544858520411307,0.6461115827163061,0.0020505755383055657,20.094295581897683,25.123989596687736,0.030073513742536306,0.06459752221902211
all40,018,FUGR-C,4,24.6292374452174,0.6258672475814819,0.0015245154791045934,21.458236078332707,25.992412207744678,0.02760295057669282,0.06118657439947128
all40,020,FUGR-C,4,27.370255110492813,0.7869759748379389,0.0011662014003377408,22.204099447545318,31.05237352838153,0.016351499129086733,0.038647991915543876
all40,026,FUGR-C,4,32.88681668565649,0.8781935175259907,0.0007601549150422215,27.942100719625035,36.176226504838574,0.008138847537338734,0.01961958035826683
all40,028,FUGR-C,4,33.54929112582312,0.9110194444656372,0.0012052046658936888,28.06599439827099,38.08586975848843,0.007405141601338983,0.018498504534363747
all40,029,FUGR-C,4,34.4297411967602,0.9361320038636526,0.0007094573666108772,28.410468849090705,40.52494621925138,0.006140931625850499,0.015481978344420591
all40,000,ControlNet-FUGR,4,20.618334755521445,0.5299280683199564,0.0011705114011419937,16.527540049276,22.781624534803356,0.0207179537974298,0.09144725650548935
all40,003,ControlNet-FUGR,4,22.13363927032229,0.6910344560941061,0.0012040549627272412,17.73946292766674,24.644950602813708,0.013452159240841866,0.07612888763348262
