split,method,num_sequences,num_frames,psnr,ssim,sharpness,edge_psnr,flat_psnr,hf_mae,tde,beta,sigma,delta_psnr_vs_fugr,delta_ssim_vs_fugr,delta_edge_psnr_vs_fugr,delta_tde_vs_fugr
all40,RGB-HF-b0.30-s0.5,10,40,29.50521807518923,0.8142669409513473,0.0011749934958061204,24.58745189086233,33.14975868312568,0.014508940430823713,0.03367364158233006,0.3,0.5,0.007584744176188707,-2.319614092505251e-05,0.001546159349455678,1.2191167722136464e-05
all40,RGB-HF-b0.60-s0.4,10,40,29.504920577526576,0.8143242001533508,0.0011946916158194654,24.588456352265027,33.14616832708116,0.014515964698512107,0.03366787470877171,0.6,0.4,0.00728724651353474,3.40630610784487e-05,0.0025506207521530655,6.424294163781541e-06
all40,RGB-HF-b0.40-s0.5,10,40,29.50465942699635,0.8141793092091879,0.0011444718620623462,24.584934448526855,33.15410576880676,0.014498861518222838,0.03368449204911789,0.4,0.5,0.0070260959833099434,-0.00011082788308447444,-0.0009712829860184513,2.3041634509959885e-05
all40,RGB-HF-b0.50-s0.4,10,40,29.50427224788593,0.8143332888682682,0.0012042505171848462,24.58858501113396,33.143541507345056,0.014521710225380957,0.033666107493142285,0.5,0.4,0.006638916872887535,4.315177599578668e-05,0.0026792796210877157,4.657078534357761e-06
all40,RGB-HF-b0.20-s0.5,10,40,29.504232231044615,0.8143144885698954,0.0012026656986563466,24.58845368714112,33.14373424482985,0.014522074442356824,0.03366714871178071,0.2,0.5,0.006598900031573152,2.435147762303025e-05,0.0025479556282448357,5.698297172784805e-06
all40,RGB-HF-b0.10-s0.8,10,40,29.503559393013838,0.8141788020730019,0.0011939874530071393,24.587098637791225,33.144766822860376,0.014522475877311081,0.03367523125683268,0.1,0.8,0.005926062000796151,-0.00011133501927051981,0.0011929062783515576,1.3780842224753176e-05
all40,RGB-HF-b0.40-s0.4,10,40,29.50339720332919,0.8143368711074194,0.0012119974970119074,24.588492006718596,33.140666294072375,0.014527920668479055,0.03366478964065513,0.4,0.4,0.005763872316148166,4.6734015146987495e-05,0.0025862752057221883,3.339226047199828e-06
all40,RGB-HF-b0.50-s0.5,10,40,29.502555433280072,0.8140514984726905,0.001113669192272937,24.580903899187987,33.156768752596456,0.0144918646896258,0.03370021979014079,0.5,0.5,0.004922102267030937,-0.00023863861958184351,-0.005001832324886379,3.876937553286275e-05
all40,RGB-HF-b0.30-s0.4,10,40,29.502295985381267,0.8143342648943266,0.0012167092689196579,24.588177300246645,33.137542555240145,0.014534591778647155,0.03366380473598838,0.3,0.4,0.004662654368225105,4.4127802054205745e-05,0.002271568733771545,2.3543213804530505e-06
all40,RGB-HF-b0.05-s0.8,10,40,29.50186227022574,0.814264831940333,0.0012210553919430821,24.587764102023215,33.13704980857306,0.014537967264186592,0.03366697120169799,0.05,0.8,0.0042289392126981795,-2.53051519394365e-05,0.0018583705103409898,5.520787090061707e-06
all40,RGB-HF-b0.10-s0.5,10,40,29.501703023406208,0.8143223504225412,0.0012180410369182937,24.58793785688556,33.136041309124224,0.014538229454774409,0.03366381715362271,0.1,0.5,0.004069692393166235,3.2213330268815454e-05,0.0020321253726862665,2.36673901478357e-06
all40,RGB-HF-b0.20-s0.4,10,40,29.500967368685338,0.8143256117900213,0.0012182571197627112,24.587641429661428,33.13417196746041,0.014541725837625563,0.0336629897976915,0.2,0.4,0.0033340376722961196,3.5474697748894e-05,0.0017356981485541212,1.5393830835735978e-06
all40,RGB-HF-b0.05-s0.5,10,40,29.499860373976965,0.8143111988902092,0.0012187716696644203,24.587111063638897,33.131572705037094,0.014547424472402782,0.033662623291214305,0.05,0.5,0.002227042963923509,2.1061797936816617e-05,0.0012053321260232508,1.1728766063784368e-06
all40,RGB-HF-b0.10-s0.4,10,40,29.499413326725424,0.8143108114600182,0.001218357920879498,24.58688409346417,33.13055481373177,0.01454931495245546,0.0336622206804653,0.1,0.4,0.0017799957123827426,2.067436774577658e-05,0.0009783619512973019,7.70265857374941e-07
