step,loss,loss_rec,loss_temp,loss_reg
1,0.23662415146827698,0.03310387581586838,0.050880067050457,0.0
100,0.15606175363063812,0.02100856602191925,0.033760614693164825,0.0002148151397705078
200,0.23687919974327087,0.034119874238967896,0.050686776638031006,0.0002448558807373047
300,0.1522289365530014,0.02117513120174408,0.03275683522224426,0.0005292892456054688
400,0.2017836570739746,0.028406962752342224,0.043333861976861954,0.0008254051208496094
500,0.2167506366968155,0.030971143394708633,0.04643427953124046,0.0008473396301269531
600,0.177461177110672,0.024882234632968903,0.03813543915748596,0.000743865966796875
700,0.14745038747787476,0.0201614648103714,0.03181455656886101,0.000614166259765625
800,0.23068024218082428,0.03234344720840454,0.049573320895433426,0.0008707046508789062
900,0.14850082993507385,0.02092895098030567,0.0318838506937027,0.0007290840148925781
1000,0.25762370228767395,0.037050385028123856,0.05513343587517738,0.0007915496826171875
1100,0.19708237051963806,0.027230672538280487,0.04245207831263542,0.0008683204650878906
1200,0.2711910307407379,0.0369536355137825,0.05854612961411476,0.0010576248168945312
1300,0.17878402769565582,0.025601089000701904,0.03828694298863411,0.0007028579711914062
1400,0.21409013867378235,0.03073410876095295,0.04582488164305687,0.0011301040649414062
1500,0.14784416556358337,0.02011267840862274,0.03192105516791344,0.0009450912475585938
