method,psnr,ssim,laplacian_sharpness,tde,motion,alpha_mean,num_sequences
FUGR-full-no-temporal,28.033938462708768,0.7827833063933585,0.0014515700303115106,0.03523435927927494,0.0873025173942248,0.02858227942573527,30
FUGR-full-temporal,28.029533884752123,0.7827486650877529,0.0014414214129695514,0.03525153892114759,0.0873025173942248,0.016675386700158317,30
RGB-Hybrid,28.027369864350977,0.7826073426802952,0.001441793957763972,0.03524242968608936,0.0873025173942248,0.02858227942573527,30
FUGR-uncertainty-only,28.02305099042233,0.7816304938991864,0.0015225056777999272,0.035301050481696926,0.0873025173942248,0.17606367498636247,30
BasicVSR,28.022529214521477,0.7826322371231186,0.00144484285384533,0.035278324875980614,0.0873025173942248,0.0,30
FUGR-texture-only,28.021303491850407,0.782566027396255,0.0015243646913634923,0.03526418305312594,0.0873025173942248,0.04694699747487903,30
FUGR-constant-alpha,27.956280892080375,0.7788072747190795,0.0018109094762961226,0.03558345260098576,0.0873025173942248,0.25,30
VSRGAN,24.66906093384716,0.7043428025411234,0.006146958709539224,0.0448279224957029,0.0873025173942248,0.0,30
