group,method,num_sequences,motion,psnr,ssim,laplacian_sharpness,tde
low_motion,BasicVSR,10,0.06143288239836693,28.744550830916523,0.7929613257447878,0.001277731219364796,0.030918020103126765
low_motion,FUGR-no-temporal,10,0.06143288239836693,28.758311360637162,0.793094949344794,0.0012848043470294215,0.030877347849309445
low_motion,FUGR-temporal,10,0.06143288239836693,28.75341259585947,0.7930720274448395,0.0012752182436815928,0.030892437789589167
low_motion,RGB-Hybrid,10,0.06143288239836693,28.75077578404809,0.7929690001010894,0.0012723217798920813,0.03089492255821824
low_motion,VSRGAN,10,0.06143288239836693,25.535121804703277,0.7198128367066383,0.005395516331656835,0.03794042356312275
mid_motion,BasicVSR,10,0.08524619638919831,28.223430957201067,0.7804058553973834,0.00126285191255738,0.034861995838582516
mid_motion,FUGR-no-temporal,10,0.08524619638919831,28.233994483339966,0.7805594797730446,0.0012701146615145262,0.03481960501521826
mid_motion,FUGR-temporal,10,0.08524619638919831,28.229842728529633,0.7805177581508954,0.00125984616484493,0.03483600188046694
mid_motion,RGB-Hybrid,10,0.08524619638919831,28.227198262274566,0.7804250622193017,0.0012574784465250559,0.03483933061361313
mid_motion,VSRGAN,10,0.08524619638919831,24.86863560126016,0.7046390140553316,0.005113983285264112,0.0439951216802001
high_motion,BasicVSR,10,0.11522847339510918,27.099605855446857,0.7745295302271844,0.0017939454296138138,0.040054958686232565
high_motion,FUGR-no-temporal,10,0.11522847339510918,27.109509544149184,0.7746954900622367,0.0017997910823905837,0.04000612497329712
high_motion,FUGR-temporal,10,0.11522847339510918,27.105346329867274,0.7746562096675238,0.0017891998303821311,0.04002617709338665
high_motion,RGB-Hybrid,10,0.11522847339510918,27.104057317371467,0.7745885245402654,0.0017865727834869174,0.04002952147275209
high_motion,VSRGAN,10,0.11522847339510918,23.603425395578046,0.6885765568614006,0.007931376511696727,0.05254822224378586
