method,num_sequences,psnr,ssim,laplacian_sharpness,tde,motion
FUGR-no-temporal,30,28.033938462708768,0.7827833063933585,0.0014515700303115106,0.03523435927927494,0.0873025173942248
FUGR-temporal,30,28.029533884752123,0.7827486650877529,0.0014414214129695514,0.03525153892114759,0.0873025173942248
RGB-Hybrid,30,28.027343787898037,0.7826608622868856,0.0014387910033013514,0.035254591548194485,0.0873025173942248
BasicVSR,30,28.022529214521477,0.7826322371231186,0.00144484285384533,0.035278324875980614,0.0873025173942248
VSRGAN,30,24.66906093384716,0.7043428025411234,0.006146958709539224,0.0448279224957029,0.0873025173942248
