sequence,motion,basic_psnr,fugr_psnr,delta_psnr_fugr_minus_basic,basic_ssim,fugr_ssim,delta_ssim_fugr_minus_basic,basic_tde,fugr_tde,delta_tde_fugr_minus_basic,basic_sharpness,fugr_sharpness,delta_sharpness_fugr_minus_basic,gan_psnr,rgb_psnr,fugr_temporal_psnr
028,0.068268321454525,33.7199572770811,33.761544517882975,0.04158724080187426,0.9136321089665094,0.9140102483828862,0.000378139416376877,0.01668013632297516,0.016606230288743973,-7.390603423118591e-05,0.001172621967853047,0.0011868291930295528,1.4207225176505718e-05,29.694267703015644,33.74082338366276,33.74233905128306
003,0.11484488099813461,30.337314997772502,30.358625529729615,0.021310531957112744,0.8972672686974208,0.8975903137524923,0.0003230450550715247,0.023930322378873825,0.02386278659105301,-6.753578782081604e-05,0.002000826442381367,0.0019782958331052212,-2.25306092761458e-05,26.81597585130611,30.349671289176673,30.348859167314096
006,0.08351624011993408,29.33609886623466,29.356604492120823,0.02050562588616245,0.8114812674125035,0.8118126485745113,0.00033138116200781553,0.030004622414708138,0.02993845008313656,-6.617233157157898e-05,0.00104179130110424,0.0010411053779534995,-6.859231507405812e-07,25.978542109557438,29.347788415509584,29.348161526824295
010,0.0658789575099945,31.47056332678028,31.490453745453365,0.01989041867308572,0.877217337489128,0.8775635236501693,0.0003461861610413175,0.02013109251856804,0.020077699795365334,-5.339272320270538e-05,0.0007657628512242809,0.0007604524970520288,-5.310354172252088e-06,28.252074511216147,31.482271055627827,31.483435069509405
009,0.036224115639925,29.630658319910108,29.648860244074964,0.01820192416485611,0.8269381652275719,0.8272254077593486,0.0002872425317766991,0.025158675387501717,0.02510910853743553,-4.9566850066185e-05,0.0010754050477407872,0.0010778717219363898,2.466674195602571e-06,26.747824920230478,29.63944736350397,29.642560952739103
004,0.07712438702583313,29.307315881489316,29.325109728842477,0.01779384735316114,0.8543615857760112,0.8548076293865841,0.0004460436105728771,0.026671379804611206,0.026608573272824287,-6.280653178691864e-05,0.0013355581765063108,0.00134236047626473,6.802299758419238e-06,26.558605108749816,29.31577896726401,29.316760370399965
029,0.0679803118109703,34.582859063892435,34.60048054741881,0.01762148352637638,0.9348420216639837,0.93506416896979,0.00022214730580638609,0.01409486960619688,0.014057207852602005,-3.7661753594875336e-05,0.0006941688747610897,0.0006942830275511369,1.1415279004716762e-07,30.869240896388387,34.59769524203358,34.5976402020684
026,0.07645239681005478,32.4021842125972,32.41877940910428,0.016595196507083187,0.8694628425439198,0.869515298604965,5.245606104520295e-05,0.020283052697777748,0.020250238478183746,-3.281421959400177e-05,0.000780186953197699,0.0007794891385128721,-6.978146848268937e-07,26.71783426174686,32.406839281309566,32.411926964611496
002,0.11565622687339783,29.251080488907718,29.2664328350133,0.015352346105583337,0.8796552197138469,0.8799727308750154,0.0003175111611685155,0.02789408713579178,0.027834352105855942,-5.973502993583679e-05,0.0020135733392089607,0.0020093355316203087,-4.237807588652019e-06,25.78646098427168,29.258327241897014,29.259882355594673
008,0.09478997439146042,27.912448770806932,27.927192124303893,0.014743353496960765,0.8077902126312254,0.8080973656972246,0.00030715306599915504,0.03436976298689842,0.03430143743753433,-6.832554936408997e-05,0.0016305721155367792,0.0016413826565258205,1.0810540989041311e-05,25.043840912826155,27.918908970451913,27.920803190419328
007,0.10569516569375992,28.03438668267609,28.048965359757762,0.014578677081672708,0.8101894911130268,0.8105433630943297,0.0003538719813028779,0.03345357999205589,0.03338998556137085,-6.359443068504333e-05,0.0015515938261523843,0.0015450365841388702,-6.557242013514181e-06,23.71823010750613,28.043631318084266,28.042563943770936
021,0.06486353278160095,28.10616246881199,28.11908150990564,0.012919041093649497,0.7705735123157501,0.7707436321179073,0.00017011980215719813,0.03345271944999695,0.03340757638216019,-4.5143067836761475e-05,0.001432544286362827,0.0014463000965770335,1.375581021420655e-05,25.093600744240295,28.110189765545947,28.112931083571052
005,0.08430280536413193,28.74309007367198,28.754231756159744,0.01114168248776437,0.7704594626029333,0.7705844674507777,0.00012500484784438992,0.03282030299305916,0.03277707099914551,-4.323199391365051e-05,0.0014776050520595163,0.0014760526921600103,-1.5523598995059642e-06,25.224175431057624,28.746899885286638,28.74905443350341
000,0.11269306391477585,27.261786100667894,27.272279831001065,0.010493730333170248,0.7662751650810242,0.7665198242664338,0.0002446591854096125,0.038917701691389084,0.03886505216360092,-5.264952778816223e-05,0.0017335353721864523,0.0017442390311043709,1.0703658917918637e-05,24.11474402723906,27.266252130672036,27.267533821904365
