policy,num_sequences,num_frames,psnr,ssim,sharpness,tde,delta_psnr_vs_fugr,delta_tde_vs_fugr
FUGR-C,5,20,30.573068312790003,0.8276376376549403,0.0010731067653978244,0.030686927028000355,0.0,0.0
RidgeResidualEnsemble-scale0.00,5,20,30.573068312790003,0.8276376376549403,0.0010731067653978244,0.030686927028000355,0.0,0.0
RidgeResidualEnsemble-scale0.10,5,20,30.5730590877331,0.8276366700728733,0.0010911369608948007,0.030687391944229602,-9.225056903261475e-06,4.64916229247353e-07
RidgeResidualEnsemble-scale0.25,5,20,30.573034546066076,0.8276346703370411,0.0010911365854553879,0.03068810049444437,-3.3766723927186604e-05,1.173466444015503e-06
RidgeResidualEnsemble-scale0.50,5,20,30.572967385565743,0.8276296665271123,0.0010911366756772623,0.03068928997963667,-0.00010092722425980583,2.362951636313698e-06
RidgeResidualEnsemble-scale0.75,5,20,30.572865323413748,0.8276227424542111,0.0010911357909208163,0.030690471269190313,-0.00020298937625540248,3.544241189958053e-06
RidgeResidualEnsemble-scale1.00,5,20,30.572728380939974,0.8276136686404545,0.0010911390883848072,0.030691659823060036,-0.0003399318500285631,4.732795059681633e-06
CalibSelectedScale-0.10,5,20,30.5730590877331,0.8276366700728733,0.0010911369608948007,0.030687391944229602,-9.225056903261475e-06,4.64916229247353e-07
