policy,num_sequences,num_frames,psnr,ssim,sharpness,tde,delta_psnr_vs_fugr,delta_tde_vs_fugr
calib-scale0.00,5,20,28.422198349236083,0.8009426365296045,0.0015015779616078361,0.036635974794626235,0.0,0.0
calib-scale0.10,5,20,28.422202178168355,0.8009421348571777,0.001519103834289126,0.03663629405200482,3.8289322716877905e-06,3.1925737858234937e-07
calib-scale0.25,5,20,28.422199675777485,0.8009406963984173,0.0015191030484857037,0.036636772379279134,1.326541401169834e-06,7.97584652899308e-07
calib-scale0.50,5,20,28.422176384445528,0.8009366681178409,0.001519102868041955,0.036637572571635246,-2.196479055527334e-05,1.5977770090117027e-06
calib-scale0.75,5,20,28.422128732582678,0.8009303798278173,0.001519103194004856,0.03663837946951389,-6.961665340554646e-05,2.4046748876571655e-06
calib-scale1.00,5,20,28.42205684390496,0.8009219497442246,0.0015191072336165235,0.03663918673992157,-0.00014150533112200492,3.2119452953380256e-06
