policy,sequence,psnr,ssim,sharpness,tde,fugr_psnr,fugr_tde,delta_psnr_vs_fugr,delta_tde_vs_fugr
FUGR-C,018,24.6292374452174,0.6258672475814819,0.0015245154791045934,0.06118657812476158,24.6292374452174,0.06118657812476158,0.0,0.0
FUGR-C,020,27.370255110492813,0.7869759748379389,0.0011662014003377408,0.03864799439907074,27.370255110492813,0.03864799439907074,0.0,0.0
FUGR-C,026,32.88681668565649,0.8781935175259907,0.0007601549150422215,0.01961958035826683,32.88681668565649,0.01961958035826683,0.0,0.0
FUGR-C,028,33.54929112582312,0.9110194444656372,0.0012052046658936888,0.018498504534363747,33.54929112582312,0.018498504534363747,0.0,0.0
FUGR-C,029,34.4297411967602,0.9361320038636526,0.0007094573666108772,0.015481977723538876,34.4297411967602,0.015481977723538876,0.0,0.0
RidgeResidualEnsemble-scale0.00,018,24.6292374452174,0.6258672475814819,0.0015245154791045934,0.06118657812476158,24.6292374452174,0.06118657812476158,0.0,0.0
RidgeResidualEnsemble-scale0.00,020,27.370255110492813,0.7869759748379389,0.0011662014003377408,0.03864799439907074,27.370255110492813,0.03864799439907074,0.0,0.0
RidgeResidualEnsemble-scale0.00,026,32.88681668565649,0.8781935175259907,0.0007601549150422215,0.01961958035826683,32.88681668565649,0.01961958035826683,0.0,0.0
RidgeResidualEnsemble-scale0.00,028,33.54929112582312,0.9110194444656372,0.0012052046658936888,0.018498504534363747,33.54929112582312,0.018498504534363747,0.0,0.0
RidgeResidualEnsemble-scale0.00,029,34.4297411967602,0.9361320038636526,0.0007094573666108772,0.015481977723538876,34.4297411967602,0.015481977723538876,0.0,0.0
RidgeResidualEnsemble-scale0.10,018,24.62922479007551,0.6258649975061417,0.0015529613010585308,0.061187177896499634,24.6292374452174,0.06118657812476158,-1.2655141887307764e-05,5.997717380523682e-07
RidgeResidualEnsemble-scale0.10,020,27.37023237298319,0.78697469830513,0.0011862326937261969,0.03864862024784088,27.370255110492813,0.03864799439907074,-2.273750962444865e-05,6.258487701416016e-07
RidgeResidualEnsemble-scale0.10,026,32.88681425946096,0.8781925787528355,0.0007742344751022756,0.019620081409811974,32.88681668565649,0.01961958035826683,-2.4261955289262005e-06,5.010515451431274e-07
RidgeResidualEnsemble-scale0.10,028,33.54931384489182,0.9110193500916163,0.0012207463732920587,0.018498620018363,33.54929112582312,0.018498504534363747,2.2719068702770073e-05,1.1548399925231934e-07
RidgeResidualEnsemble-scale0.10,029,34.429710171254,0.9361317257086436,0.0007215099612949416,0.015482460148632526,34.4297411967602,0.015481977723538876,-3.10255061961584e-05,4.824250936508179e-07
RidgeResidualEnsemble-scale0.25,018,24.629199750368027,0.625861311952273,0.0015529598749708384,0.061188098043203354,24.6292374452174,0.06118657812476158,-3.769484937166112e-05,1.519918441772461e-06
RidgeResidualEnsemble-scale0.25,020,27.37019071640124,0.7869721005360285,0.001186230219900608,0.03864957019686699,27.370255110492813,0.03864799439907074,-6.439409157366072e-05,1.5757977962493896e-06
RidgeResidualEnsemble-scale0.25,026,32.88679935588216,0.8781905323266983,0.0007742362940916792,0.019620835781097412,32.88681668565649,0.01961958035826683,-1.7329774330221426e-05,1.255422830581665e-06
RidgeResidualEnsemble-scale0.25,028,33.54933363293856,0.911018838485082,0.0012207461695652455,0.018498798832297325,33.54929112582312,0.018498504534363747,4.25071154452894e-05,2.942979335784912e-07
RidgeResidualEnsemble-scale0.25,029,34.429649274740406,0.9361305683851242,0.000721510368748568,0.015483199618756771,34.4297411967602,0.015481977723538876,-9.19220197914683e-05,1.2218952178955078e-06
RidgeResidualEnsemble-scale0.50,018,24.629145882058545,0.6258537173271179,0.0015529598749708384,0.06118965521454811,24.6292374452174,0.06118657812476158,-9.156315885405775e-05,3.077089786529541e-06
RidgeResidualEnsemble-scale0.50,020,27.370106780587346,0.786965956290563,0.001186230219900608,0.038651153445243835,27.370255110492813,0.03864799439907074,-0.0001483299054676479,3.159046173095703e-06
RidgeResidualEnsemble-scale0.50,026,32.886742473417584,0.8781856844822565,0.0007742367743048817,0.019622109830379486,32.88681668565649,0.01961958035826683,-7.421223890702322e-05,2.5294721126556396e-06
RidgeResidualEnsemble-scale0.50,028,33.549330014676144,0.9110157638788224,0.001220746140461415,0.018499108031392097,33.54929112582312,0.018498504534363747,3.8888853026719516e-05,6.034970283508301e-07
