step,loss,loss_rec,loss_temp,loss_reg
1,0.3892643451690674,0.03310387581586838,0.050880067050457,0.0
100,0.2573452293872833,0.02101108804345131,0.0337604358792305,0.0002219676971435547
200,0.38893261551856995,0.03411712124943733,0.050685688853263855,0.0003139972686767578
300,0.2505265772342682,0.02117799036204815,0.032759469002485275,0.0006461143493652344
400,0.3317328989505768,0.028400905430316925,0.04332556575536728,0.00106048583984375
500,0.356052428483963,0.0309750959277153,0.04643359035253525,0.0008440017700195312
600,0.29186490178108215,0.02488044649362564,0.03813488036394119,0.0008058547973632812
700,0.2429153025150299,0.020161353051662445,0.031817223876714706,0.000667572021484375
800,0.37936875224113464,0.03233981505036354,0.0495682917535305,0.001018524169921875
900,0.24413152039051056,0.020926697179675102,0.031880613416433334,0.0008111000061035156
1000,0.4230060279369354,0.037049442529678345,0.05513054132461548,0.0008554458618164062
1100,0.32444411516189575,0.02723114565014839,0.04245230183005333,0.0009374618530273438
1200,0.44681599736213684,0.036952339112758636,0.05854376032948494,0.0011463165283203125
1300,0.29363125562667847,0.02560051903128624,0.038284000009298325,0.0008544921875
1400,0.3515509366989136,0.03073236346244812,0.04582247883081436,0.001224517822265625
1500,0.24362385272979736,0.020114116370677948,0.03192228078842163,0.0010747909545898438
