step,loss,loss_rec,loss_temp,loss_reg
1,0.17966245114803314,0.015054987743496895,0.023515351116657257,0.0
100,0.3621434271335602,0.0296558178961277,0.04749713093042374,0.0001537799835205078
200,0.226254403591156,0.018264345824718475,0.029709571972489357,0.0004608631134033203
300,0.30539262294769287,0.02608114667236805,0.039895057678222656,0.0009212493896484375
400,0.33455413579940796,0.02886478789150715,0.04366321116685867,0.0009374618530273438
500,0.3638078272342682,0.02967623621225357,0.04772578924894333,0.0010213851928710938
600,0.35097408294677734,0.02977858856320381,0.045877523720264435,0.001056671142578125
700,0.3315476179122925,0.028205914422869682,0.04332784563302994,0.0009355545043945312
800,0.28547555208206177,0.02395617589354515,0.037350550293922424,0.0013103485107421875
900,0.29077500104904175,0.025338582694530487,0.03791115805506706,0.0011653900146484375
1000,0.2575034201145172,0.020851995795965195,0.03380000591278076,0.0010280609130859375
