sequence,psnr_temporal_avg,ssim_temporal_avg,psnr_temporal_unsharp,ssim_temporal_unsharp
00001/0266,28.844170210333033,0.8851544858897442,29.011703920358208,0.8875155132162054
MEAN,28.844170210333033,0.8851544858897442,29.011703920358208,0.8875155132162054
