method,psnr_y,ssim_y,fps
bicubic,24.24922207717982,0.6754847651111093,8.845971795468156
lanczos,23.955901749333794,0.6578654888834193,9.083363210141766
input_bicubic,25.76891249765084,0.6967737353296874,9.402659869021173
srcnn,15.001784939797357,0.49226230807273696,1.4580358550129184
