step,loss,loss_rec,loss_temp,loss_reg
1,0.32252636551856995,0.02697979472577572,0.042220938950777054,0.0
100,0.25583019852638245,0.02078777179121971,0.03357605263590813,0.0002009868621826172
200,0.20135486125946045,0.01644507795572281,0.02641342021524906,0.0003173351287841797
300,0.39287978410720825,0.03327289968729019,0.05136830732226372,0.0005741119384765625
400,0.2295854687690735,0.018910998478531837,0.030089743435382843,0.0009255409240722656
500,0.2480221837759018,0.019974756985902786,0.0325707271695137,0.0010461807250976562
600,0.3131227195262909,0.027078228071331978,0.04085779935121536,0.0007977485656738281
700,0.33925536274909973,0.028516558930277824,0.04438342526555061,0.0010967254638671875
800,0.17749418318271637,0.014718725346028805,0.02324671298265457,0.00096893310546875
900,0.35832270979881287,0.03055029921233654,0.04681747034192085,0.0010023117065429688
1000,0.2226451188325882,0.01829683780670166,0.029185349121689796,0.0010166168212890625
